Configuration,Method,Bias,Abs_Bias,MSE,RMSE,Coverage,Status,P_Value
"n=500, p=5, true_effect=2.0, confounding_strength=2.0",OLSWithControls,-0.010533412096574768,0.010533412096574768,0.015128278896551665,0.12299706865023924,0.65,FAIL,0.0
"n=500, p=5, true_effect=2.0, confounding_strength=2.0",IPWEstimator,-0.34893728297878335,0.34893728297878335,2.0612125948042594,1.4356923747113306,0.55,FAIL,0.0
"n=500, p=5, true_effect=2.0, confounding_strength=2.0",AugmentedIPW,0.002696082393533139,0.002696082393533139,0.07635631669209823,0.2763264675924082,0.65,PASS,0.4534137931785893
"n=500, p=5, true_effect=2.0, confounding_strength=2.0",RandomForest,0.0010341254372274733,0.0010341254372274733,3.5853608154185017,1.8935049024014967,0.4,PASS,0.05408804921684873
"n=500, p=5, true_effect=2.0, confounding_strength=2.0",XGBoost,0.3731058607532116,0.3731058607532116,2.6594430733006273,1.630779897257943,0.35,FAIL,0.0
"n=500, p=5, true_effect=2.0, confounding_strength=2.0",DML,0.061704898915684314,0.061704898915684314,0.4449037726024305,0.6670110738229392,1.0,FAIL,0.0
"n=1000, p=5, true_effect=2.0, confounding_strength=0.5",NaiveOLS,0.037942906844992574,0.037942906844992574,0.2074736604594234,0.4554927666378725,0.3,FAIL,0.0
"n=1000, p=5, true_effect=2.0, confounding_strength=0.5",OLSWithControls,-0.013700940338180256,0.013700940338180256,0.0045959531524978215,0.06779345951120817,0.9,FAIL,0.0
"n=1000, p=5, true_effect=2.0, confounding_strength=0.5",IPWEstimator,-0.00869120767442122,0.00869120767442122,0.002948249558172128,0.05429778594171339,1.0,FAIL,0.0
"n=1000, p=5, true_effect=2.0, confounding_strength=0.5",AugmentedIPW,-0.028725454939046546,0.028725454939046546,0.0049537047886757295,0.0703825602594544,0.95,FAIL,0.0
"n=1000, p=5, true_effect=2.0, confounding_strength=0.5",RandomForest,0.006263987039381913,0.006263987039381913,0.010987686822344194,0.1048221676094527,0.85,FAIL,6.661338147750939e-15
"n=1000, p=5, true_effect=2.0, confounding_strength=0.5",XGBoost,0.009477174779573883,0.009477174779573883,0.0052754376160448115,0.07263220784228448,0.85,FAIL,0.0
"n=1000, p=5, true_effect=2.0, confounding_strength=0.5",DML,-0.0009384384393023026,0.0009384384393023026,0.0067486031795891115,0.08214988240764019,1.0,PASS,0.0971032705368362
"n=1000, p=5, true_effect=2.0, confounding_strength=1.0",NaiveOLS,0.15752446984056423,0.15752446984056423,1.6738544147320966,1.2937752566547625,0.2,FAIL,0.0
"n=1000, p=5, true_effect=2.0, confounding_strength=1.0",OLSWithControls,0.004397757192684093,0.004397757192684093,0.006884412972903911,0.08297236270532442,0.75,FAIL,0.0
"n=1000, p=5, true_effect=2.0, confounding_strength=1.0",IPWEstimator,-0.054623394811451176,0.054623394811451176,0.0859657702987323,0.2931991990076581,0.9,FAIL,0.0
"n=1000, p=5, true_effect=2.0, confounding_strength=1.0",AugmentedIPW,-0.05410288378223593,0.05410288378223593,0.03576394842357487,0.18911358603647405,0.85,FAIL,0.0
"n=1000, p=5, true_effect=2.0, confounding_strength=1.0",RandomForest,0.025143557647051118,0.025143557647051118,0.0928600072634601,0.30472940006415544,0.45,FAIL,0.0
"n=1000, p=5, true_effect=2.0, confounding_strength=1.0",XGBoost,-0.015388248516421399,0.015388248516421399,0.04437520625693614,0.21065423389273746,0.55,FAIL,0.0
"n=1000, p=5, true_effect=2.0, confounding_strength=1.0",DML,-0.026805894596795055,0.026805894596795055,0.025138038526400903,0.158549798254053,1.0,FAIL,0.0
"n=1000, p=5, true_effect=2.0, confounding_strength=2.0",NaiveOLS,0.33342836631163175,0.33342836631163175,9.153438182799082,3.0254649531599407,0.1,FAIL,0.0
