scenario,run,method,rank,bias,abs_bias,mse,coverage
"Strong confounding, smaller sample",6,NaiveOLS,5,0.5791400635572823,0.5791400635572823,9.98720486275894,0.45
"Strong confounding, smaller sample",7,AugmentedIPW,1,-0.0013988242733935508,0.0013988242733935508,0.0606702367991116,0.64
"Strong confounding, smaller sample",7,OLSWithControls,2,0.01593192521513176,0.01593192521513176,0.047945137521763534,0.69
"Strong confounding, smaller sample",7,DML,3,-0.23515501286493778,0.23515501286493778,3.0363960958817544,1.0
"Strong confounding, smaller sample",7,NaiveOLS,4,0.39698506496212493,0.39698506496212493,9.206150114560062,0.44
"Strong confounding, smaller sample",7,IPWEstimator,5,-0.47594325411347205,0.47594325411347205,3.664900129888384,0.59
"Strong confounding, smaller sample",8,AugmentedIPW,1,-0.003941282132174484,0.003941282132174484,0.05903492418519164,0.64
"Strong confounding, smaller sample",8,OLSWithControls,2,0.013129967777983698,0.013129967777983698,0.057925156653248384,0.69
"Strong confounding, smaller sample",8,NaiveOLS,3,-0.06973863267798808,0.06973863267798808,9.468917684525842,0.38
"Strong confounding, smaller sample",8,DML,4,-0.40040956308904785,0.40040956308904785,3.6788766605169667,1.0
"Strong confounding, smaller sample",8,IPWEstimator,5,-0.5590933948581895,0.5590933948581895,2.664867888722288,0.51
"Strong confounding, smaller sample",9,OLSWithControls,1,-0.01584934601862864,0.01584934601862864,0.049019025154806425,0.72
"Strong confounding, smaller sample",9,NaiveOLS,2,0.02304058790157759,0.02304058790157759,7.8834967322970035,0.42
"Strong confounding, smaller sample",9,AugmentedIPW,3,0.026077223455833298,0.026077223455833298,0.060485361942810616,0.59
"Strong confounding, smaller sample",9,DML,4,-0.13850661231829853,0.13850661231829853,3.035303761337915,0.98
"Strong confounding, smaller sample",9,IPWEstimator,5,-0.6344577019035165,0.6344577019035165,3.2332567078099657,0.56
"Strong confounding, smaller sample",10,OLSWithControls,1,0.0011468070282241172,0.0011468070282241172,0.04616895629238426,0.7
"Strong confounding, smaller sample",10,AugmentedIPW,2,0.02202595469539892,0.02202595469539892,0.054391382578022014,0.65
"Strong confounding, smaller sample",10,IPWEstimator,3,-0.418361345653798,0.418361345653798,3.289328635735899,0.57
"Strong confounding, smaller sample",10,DML,4,-0.4329902766996374,0.4329902766996374,2.3482462336177203,1.0
"Strong confounding, smaller sample",10,NaiveOLS,5,0.5298054909061984,0.5298054909061984,8.818867234426813,0.45
"Weak confounding, large sample",1,AugmentedIPW,1,-0.0029290936238407506,0.0029290936238407506,0.014688655417189276,0.95
"Weak confounding, large sample",1,OLSWithControls,2,0.003622404171984117,0.003622404171984117,0.0043938792337586165,0.83
"Weak confounding, large sample",1,DML,3,-0.012363897942901936,0.012363897942901936,0.006302164271314978,1.0
"Weak confounding, large sample",1,IPWEstimator,4,0.015479050441772113,0.015479050441772113,0.01247479138711369,0.99
"Weak confounding, large sample",1,NaiveOLS,5,0.02774739768369816,0.02774739768369816,0.19370034205796444,0.26
"Weak confounding, large sample",2,OLSWithControls,1,-6.299810406162898e-05,6.299810406162898e-05,0.004948032859095896,0.82
"Weak confounding, large sample",2,IPWEstimator,2,-0.0020025302058401806,0.0020025302058401806,0.009205997805823055,1.0
"Weak confounding, large sample",2,AugmentedIPW,3,0.004078136823020717,0.004078136823020717,0.005357974633804829,0.96
"Weak confounding, large sample",2,NaiveOLS,4,-0.005890194640502333,0.005890194640502333,0.14412497820453876,0.44
"Weak confounding, large sample",2,DML,5,-0.0279011981212699,0.0279011981212699,0.006167295670041638,1.0
"Weak confounding, large sample",3,NaiveOLS,1,-0.006325955169532493,0.006325955169532493,0.1796249143690723,0.4
"Weak confounding, large sample",3,AugmentedIPW,2,0.006927491876361547,0.006927491876361547,0.0075158404882905835,0.94
"Weak confounding, large sample",3,OLSWithControls,3,-0.010372145550666456,0.010372145550666456,0.0050694014699430535,0.82
"Weak confounding, large sample",3,DML,4,-0.01147523903814407,0.01147523903814407,0.0061977576638948305,1.0
"Weak confounding, large sample",3,IPWEstimator,5,0.012785618748658578,0.012785618748658578,0.009886735756166965,0.98
"Weak confounding, large sample",4,IPWEstimator,1,0.0003272568704741907,0.0003272568704741907,0.006505237359895896,1.0
"Weak confounding, large sample",4,AugmentedIPW,2,0.0012168736599924568,0.0012168736599924568,0.006107543439488502,0.95
"Weak confounding, large sample",4,OLSWithControls,3,0.007105624230286489,0.007105624230286489,0.004126581705694262,0.84
"Weak confounding, large sample",4,DML,4,-0.00872636864955112,0.00872636864955112,0.007460716493450706,1.0
"Weak confounding, large sample",4,NaiveOLS,5,-0.041394958238618496,0.041394958238618496,0.18499089136319916,0.36
"Weak confounding, large sample",5,OLSWithControls,1,-3.254144114384072e-05,3.254144114384072e-05,0.0038512902846594894,0.86
"Weak confounding, large sample",5,IPWEstimator,2,-0.009854576229983536,0.009854576229983536,0.007472717990779075,1.0
"Weak confounding, large sample",5,AugmentedIPW,3,-0.01153425570379607,0.01153425570379607,0.005635609074466649,0.95
"Weak confounding, large sample",5,DML,4,-0.013575289717574712,0.013575289717574712,0.005967023230975015,1.0
"Weak confounding, large sample",5,NaiveOLS,5,-0.01925743610419306,0.01925743610419306,0.27754331611195787,0.29
"Weak confounding, large sample",6,OLSWithControls,1,-0.0035850716681286032,0.0035850716681286032,0.006280109904007292,0.73
"Weak confounding, large sample",6,IPWEstimator,2,0.0038806041955270487,0.0038806041955270487,0.009265668207016369,0.99
"Weak confounding, large sample",6,AugmentedIPW,3,0.0053208314317574334,0.0053208314317574334,0.00575914532335717,0.95
"Weak confounding, large sample",6,NaiveOLS,4,0.027759171701289942,0.027759171701289942,0.27044128715113447,0.26
"Weak confounding, large sample",6,DML,5,-0.03501965911271765,0.03501965911271765,0.006152547422479889,1.0
"Weak confounding, large sample",7,IPWEstimator,1,-0.001903052617944767,0.001903052617944767,0.0060662159741238205,1.0
"Weak confounding, large sample",7,AugmentedIPW,2,0.007357712768854663,0.007357712768854663,0.004688438465707743,0.94
